T	N	tau	tau_std	N_sweeps	N_sweeps_eq	t_sample	system	calculation_method	N_resamples
2.042271	5	1.6845714285714297	0.5782334245933762	5000000	500000	1	torus	bootstrap	700
2.042271	7	1.6889795918367345	0.514030021528075	5000000	500000	1	torus	bootstrap	700
2.042271	5	1.6982857142857148	0.5399596536312326	5000000	500000	1	torus	bootstrap	700
2.042271	7	1.6824489795918371	0.47491862500850407	5000000	500000	1	torus	bootstrap	700
2.042271	5	1.693714285714287	0.5491733192349889	5000000	500000	1	torus	bootstrap	700
2.042271	7	1.7053061224489798	0.4884952512108855	5000000	500000	1	torus	bootstrap	700
2.042271	10	1.661714285714287	0.4429933665739595	5000000	500000	1	torus	bootstrap	700
2.1557304999999998	8	1.546428571428571	0.5438445659515045	5000000	500000	1	torus	bootstrap	700
2.1557304999999998	10	1.5485714285714294	0.5354240647210043	5000000	500000	1	torus	bootstrap	700
2.2238062	5	1.5245714285714282	0.6997417993336709	5000000	500000	1	torus	bootstrap	700
2.1557304999999998	20	1.5197142857142862	0.39613284945395955	5000000	500000	1	torus	bootstrap	700
2.2238062	5	1.5257142857142854	0.6704653678780208	5000000	500000	1	torus	bootstrap	700
2.2238062	12	1.4366666666666659	0.5327801733193352	5000000	500000	1	torus	bootstrap	700
2.2238062	12	1.466666666666666	0.5033665079846632	5000000	500000	1	torus	bootstrap	700
2.2238062	20	1.3745714285714283	0.45107941027677007	5000000	500000	1	torus	bootstrap	700
2.2238062	25	1.3871999999999998	0.42122872245817733	5000000	500000	1	torus	bootstrap	700
