T	N	tau	tau_std	N_sweeps	N_sweeps_eq	t_sample	system	calculation_method	N_resamples
0.453838	10	1.9999999999999631	0.0	100000	1000	1	torus	bootstrap	700
0.5672975	10	2.0000000000001084	1.2101320418773645e-15	100000	1000	1	torus	bootstrap	700
0.6807570000000001	10	1.998067414283571	0.0006690460463685494	100000	1000	1	torus	bootstrap	700
0.7942165	10	1.963785079994524	0.016839414587889255	100000	1000	1	torus	bootstrap	700
0.907676	10	1.9452567277614776	0.009965212084698503	100000	1000	1	torus	bootstrap	700
1.0211355	10	1.8898665427271861	0.040031114634454315	100000	1000	1	torus	bootstrap	700
1.134595	10	1.8614347030240257	0.017915781730889854	100000	1000	1	torus	bootstrap	700
1.2480545	10	1.8339654964105616	0.012066510667446784	100000	1000	1	torus	bootstrap	700
1.3615140000000001	10	1.637793892441317	0.02878619411592185	100000	1000	1	torus	bootstrap	700
1.4749735	10	1.5061354933524	0.03920554944845858	100000	1000	1	torus	bootstrap	700
1.588433	10	1.4247184418406857	0.029571284445162778	100000	1000	1	torus	bootstrap	700
1.7018925	10	1.2563988293465385	0.041619539242590715	100000	1000	1	torus	bootstrap	700
1.815352	10	0.9155596761272686	0.04841359062220869	100000	1000	1	torus	bootstrap	700
1.9288115000000001	10	0.8414939435351219	0.028312500672148206	100000	1000	1	torus	bootstrap	700
2.042271	10	0.6598236291026077	0.03415320278468216	100000	1000	1	torus	bootstrap	700
2.1557305	10	0.3833451730162415	0.03807289544432842	100000	1000	1	torus	bootstrap	700
2.26919	10	0.24797988040698532	0.026115273752115913	100000	1000	1	torus	bootstrap	700
2.3826495	10	0.12909946727936863	0.02782825262859817	100000	1000	1	torus	bootstrap	700
2.496109	10	0.05803536053956128	0.019662360161507325	100000	1000	1	torus	bootstrap	700
2.6095685	10	0.03038036520911752	0.013015240973756023	100000	1000	1	torus	bootstrap	700
0.453838	30	0.6501292962840599	0.00228410960276254	100000	1000	1	torus	bootstrap	700
0.5672975	30	1.9993490566992482	0.00037019170595572126	100000	1000	1	torus	bootstrap	700
0.6807570000000001	30	1.996981334297824	0.00045203824429293325	100000	1000	1	torus	bootstrap	700
0.907676	30	1.9746438491799077	0.0025875577188057826	100000	1000	1	torus	bootstrap	700
1.0211355	30	1.8797982255568892	0.04641800791609105	100000	1000	1	torus	bootstrap	700
1.134595	30	1.9097749489635913	0.004828141178970462	100000	1000	1	torus	bootstrap	700
1.2480545	30	1.8358229301674776	0.008682995305834326	100000	1000	1	torus	bootstrap	700
1.3615140000000001	30	1.692176431603514	0.03472163845306964	100000	1000	1	torus	bootstrap	700
1.4749735	30	1.6886247712225808	0.018500943916447576	100000	1000	1	torus	bootstrap	700
1.588433	30	1.5998548568702884	0.017713125371560046	100000	1000	1	torus	bootstrap	700
1.7018925	30	1.4515239139655052	0.013412232511778876	100000	1000	1	torus	bootstrap	700
1.815352	30	1.2523161295531808	0.0202989172878904	100000	1000	1	torus	bootstrap	700
1.9288115000000001	30	1.055819164895197	0.02402101931441721	100000	1000	1	torus	bootstrap	700
2.042271	30	0.7495722423174125	0.03995282237574845	100000	1000	1	torus	bootstrap	700
2.1557305	30	0.23072568479830402	0.13331978044954168	100000	1000	1	torus	bootstrap	700
2.26919	30	0.13092279833129022	0.042996950037477145	100000	1000	1	torus	bootstrap	700
2.3826495	30	0.030084352332053897	0.028404217669772424	100000	1000	1	torus	bootstrap	700
2.496109	30	0.06312218085024254	0.010243138334458038	100000	1000	1	torus	bootstrap	700
2.6095685	30	0.02569336170575276	0.013264332115408426	100000	1000	1	torus	bootstrap	700
2.26919	2	0.9933661215175561	0.003452678560642717	500000	1000	1	torus	bootstrap	700
2.26919	4	0.5366060356796283	0.004587064337877984	500000	1000	1	torus	bootstrap	700
2.26919	8	0.28204331183129994	0.011378371907492368	500000	1000	1	torus	bootstrap	700
2.26919	10	0.20866999363061986	0.02003845652327507	500000	1000	1	torus	bootstrap	700
2.26919	20	0.04665790793372905	0.07037738055252135	500000	1000	1	torus	bootstrap	700
2.26919	30	0.05884748464080333	0.06628417567672247	500000	1000	1	torus	bootstrap	700
2.042271	20	0.6558582020526743	0.06169217320503513	50000	1000	1	torus	bootstrap	700
2.042271	10	0.47950157512064606	0.0988275720204687	50000	1000	1	torus	bootstrap	700
2.1557304999999998	30	0.5273762774916594	0.021109058367899353	50000	1000	1	torus	bootstrap	700
2.1557304999999998	20	0.4433248726554423	0.01869598736894039	50000	1000	1	torus	bootstrap	700
2.2464981	20	0.27407415695864057	0.032679384740525105	50000	1000	1	torus	bootstrap	700
2.2464981	30	0.21361925730021813	0.031213131184235906	50000	1000	1	torus	bootstrap	700
2.2238062	20	0.3607953071900202	0.020355687241231282	50000	1000	1	torus	bootstrap	700
2.2238062	20	0.23986042223909676	0.03821634042948101	50000	1000	1	torus	bootstrap	700
2.042271	20	0.4816889561411058	0.04130962275057674	100000	1000	1	torus	bootstrap	700
2.042271	10	0.5903684464425327	0.0849454356885571	100000	1000	1	torus	bootstrap	700
2.1557304999999998	30	0.3751373683569621	0.05029377840991327	100000	1000	1	torus	bootstrap	700
2.1557304999999998	20	0.4843855723962053	0.02598100985618675	100000	1000	1	torus	bootstrap	700
2.2464981	20	0.23965566201996413	0.023496369386673883	100000	1000	1	torus	bootstrap	700
2.2464981	30	0.24442011525477364	0.025663063014893704	100000	1000	1	torus	bootstrap	700
2.2238062	20	0.17720005919838416	0.06266725428353612	100000	1000	1	torus	bootstrap	700
2.2238062	20	0.30013106761234537	0.03196483061545795	100000	1000	1	torus	bootstrap	700
2.2238062	30	0.19858439976094336	0.07781144067334737	100000	1000	1	torus	bootstrap	700
