T	N	tau	tau_std	N_sweeps	N_sweeps_eq	t_sample	system	calculation_method	N_resamples
2.042271	20	0.6384787100834457	0.04742955295155411	100000	1000	1	torus	bootstrap	700
2.042271	10	0.5067205693952757	0.05842491345451071	100000	1000	1	torus	bootstrap	700
2.1557304999999998	30	0.30810583127253555	0.07319317248408568	100000	1000	1	torus	bootstrap	700
2.1557304999999998	20	0.42111498693708516	0.02913278752288525	100000	1000	1	torus	bootstrap	700
2.2464981	20	0.16464203788824489	0.034997462941760586	100000	1000	1	torus	bootstrap	700
2.2464981	30	0.24070779613820817	0.02417303946691941	100000	1000	1	torus	bootstrap	700
2.2238062	20	0.25514816679137753	0.07655226632493212	100000	1000	1	torus	bootstrap	700
2.2238062	20	0.19750733240093293	0.05110316751430429	100000	1000	1	torus	bootstrap	700
2.2238062	30	0.2606926718899031	0.03206251685656557	100000	1000	1	torus	bootstrap	700
2.1557304999999998	30	0.3705301604739707	0.046574048756395675	400000	1000	1	torus	bootstrap	700
2.042271	40	0.6700168484465173	0.05957218752704631	400000	1000	1	torus	bootstrap	700
2.042271	60	0.9144515935541171	0.013081954038038711	400000	1000	1	torus	bootstrap	700
2.1557304999999998	60	0.4568118033806757	0.027012930935102854	400000	1000	1	torus	bootstrap	700
2.042271	100	0.6860339000251252	0.04726517505757311	50000	1000	1	torus	bootstrap	700
2.1557304999999998	100	0.1705578646620405	0.01077420428817958	400000	1000	1	torus	bootstrap	700
2.2238062	120	0.3967860324037868	0.011557917707098625	400000	1000	1	torus	bootstrap	700
