T	N	tau	tau_std	N_sweeps	N_sweeps_eq	t_sample	system	calculation_method	N_resamples
0.453838	5	2.0000000000008233	2.2589131448377468e-15	1000000	100000	1	torus	bootstrap	700
0.907676	5	1.9590790819018604	0.004497466508262366	1000000	100000	1	torus	bootstrap	700
1.361514	5	1.3466942175613446	0.11686719282171956	1000000	100000	1	torus	bootstrap	700
1.588433	5	1.2014754768851206	0.03501014769530021	1000000	100000	1	torus	bootstrap	700
1.815352	5	0.8819283452889793	0.013436341083722695	1000000	100000	1	torus	bootstrap	700
2.042271	5	0.6385613024829027	0.0069106808719301	1000000	100000	1	torus	bootstrap	700
2.26919	5	0.44027740523903686	0.004234181803005156	1000000	100000	1	torus	bootstrap	700
2.496109	5	0.2890980811491957	0.002764100275591204	1000000	100000	1	torus	bootstrap	700
2.723028	5	0.1823351324873896	0.0022354793645108077	1000000	100000	1	torus	bootstrap	700
2.9499470000000003	5	0.11338205363925094	0.001743116597090761	1000000	100000	1	torus	bootstrap	700
0.453838	30	1.9997681852886127	0.00016108732891845497	1000000	100000	1	torus	bootstrap	700
0.907676	30	1.95604806644628	0.007041660603062232	1000000	100000	1	torus	bootstrap	700
1.361514	30	1.74776194906806	0.01221017018492087	1000000	100000	1	torus	bootstrap	700
1.588433	30	1.5303537698179386	0.011783818044376282	1000000	100000	1	torus	bootstrap	700
1.815352	30	1.0945697046113583	0.05436418845349027	1000000	100000	1	torus	bootstrap	700
2.042271	30	0.6810481723848926	0.021866724467828034	1000000	100000	1	torus	bootstrap	700
2.26919	30	0.16542008059857669	0.01280118412356215	1000000	100000	1	torus	bootstrap	700
2.496109	30	0.016246302058745363	0.012272891734831396	1000000	100000	1	torus	bootstrap	700
2.723028	30	0.016750839383316538	0.0036626452928979285	1000000	100000	1	torus	bootstrap	700
2.9499470000000003	30	0.007113906429478794	0.006449086458220386	1000000	100000	1	torus	bootstrap	700
0.453838	80	1.9996710977430898	0.00011676408721508327	1000000	100000	1	torus	bootstrap	700
0.907676	80	1.9672904257512638	0.0017248151038240795	1000000	100000	1	torus	bootstrap	700
1.361514	80	1.7605612998620566	0.04232490796684495	1000000	100000	1	torus	bootstrap	700
1.588433	80	1.6540164837661968	0.011211717058993313	1000000	100000	1	torus	bootstrap	700
1.815352	80	1.2703284008625637	0.03612060460077141	1000000	100000	1	torus	bootstrap	700
2.042271	80	0.9182938142695584	0.010326534139257996	1000000	100000	1	torus	bootstrap	700
2.26919	80	0.17848431010203922	0.006405433305514331	1000000	100000	1	torus	bootstrap	700
2.496109	80	0.05832571718329972	0.01484039597707609	1000000	100000	1	torus	bootstrap	700
2.723028	80	0.04590997094507963	0.006644662491794556	1000000	100000	1	torus	bootstrap	700
2.9499470000000003	80	0.020537027714913343	0.013686133012912003	1000000	100000	1	torus	bootstrap	700
0.453838	5	2.0000000000008233	2.2589131448377468e-15	1000000	100000	1	pp	bootstrap	700
0.907676	5	1.9779535240100148	0.003661685512899352	1000000	100000	1	pp	bootstrap	700
1.361514	5	1.582163446669702	0.13244204951345284	1000000	100000	1	pp	bootstrap	700
1.588433	5	1.2328516917284547	0.04600021312266091	1000000	100000	1	pp	bootstrap	700
1.815352	5	0.9897511507573201	0.0188833562175239	1000000	100000	1	pp	bootstrap	700
2.042271	5	0.6536434993312524	0.00970205720148636	1000000	100000	1	pp	bootstrap	700
2.26919	5	0.4834285717799406	0.006306201748078536	1000000	100000	1	pp	bootstrap	700
2.496109	5	0.32230807975483106	0.004107277653352503	1000000	100000	1	pp	bootstrap	700
2.723028	5	0.19631352247499265	0.0032653996212123975	1000000	100000	1	pp	bootstrap	700
2.9499470000000003	5	0.13332325895327646	0.0026314651694815195	1000000	100000	1	pp	bootstrap	700
0.453838	30	1.9994388526595523	0.0002448919066973509	1000000	100000	1	pp	bootstrap	700
0.907676	30	1.9808912266318062	0.0010317272545870822	1000000	100000	1	pp	bootstrap	700
1.361514	30	1.835848540461256	0.008887001620961022	1000000	100000	1	pp	bootstrap	700
1.588433	30	1.6498046304966933	0.03750005793675288	1000000	100000	1	pp	bootstrap	700
1.815352	30	1.5094823096589527	0.01879676995073303	1000000	100000	1	pp	bootstrap	700
2.042271	30	1.269051776813511	0.025437443072177504	1000000	100000	1	pp	bootstrap	700
2.26919	30	0.7453153923215089	0.05170200851104629	1000000	100000	1	pp	bootstrap	700
2.496109	30	0.2665526849032622	0.03728985330454586	1000000	100000	1	pp	bootstrap	700
2.723028	30	0.1508288303591828	0.028469046501630953	1000000	100000	1	pp	bootstrap	700
2.9499470000000003	30	0.09914476958945959	0.019566781419211112	1000000	100000	1	pp	bootstrap	700
0.453838	80	1.9999999999999858	1.9362112670037833e-15	1000000	100000	1	pp	bootstrap	700
0.907676	80	1.9814517425105038	0.0022639741946227907	1000000	100000	1	pp	bootstrap	700
1.361514	80	1.8687772029424434	0.01013463556469462	1000000	100000	1	pp	bootstrap	700
1.588433	80	1.7879235218176348	0.007287219292265314	1000000	100000	1	pp	bootstrap	700
1.815352	80	1.6411415381266696	0.013471131849141699	1000000	100000	1	pp	bootstrap	700
2.042271	80	1.4675941179873733	0.010175257625652481	1000000	100000	1	pp	bootstrap	700
2.26919	80	1.105181771976683	0.03938660134096751	1000000	100000	1	pp	bootstrap	700
2.496109	80	0.5637932464418414	0.07228249950228258	1000000	100000	1	pp	bootstrap	700
2.723028	80	0.5229108539822737	0.013849952327460899	1000000	100000	1	pp	bootstrap	700
2.9499470000000003	80	0.33275137430541346	0.02109687415373927	1000000	100000	1	pp	bootstrap	700
