T	N	tau	tau_std	N_sweeps	N_sweeps_eq	t_sample	system	calculation_method	N_resamples
2.2238062	50	1.0704305406494843	0.02844499563504374	1000000	100000	1	pp	bootstrap	700
2.2238062	33	0.8950672024083126	0.02621234230749619	1000000	100000	1	pp	bootstrap	700
2.2238062	25	0.7843567526632569	0.05522237734229465	1000000	100000	1	pp	bootstrap	700
2.2238062	20	0.6552350545769486	0.05685666320206454	1000000	100000	1	pp	bootstrap	700
2.2238062	17	0.5854076753124852	0.05934142737855052	1000000	100000	1	pp	bootstrap	700
2.1557304999999998	20	0.8321446094087257	0.06523965603243653	1000000	100000	1	pp	bootstrap	700
2.1557304999999998	13	0.5867948164454984	0.05448851343755202	1000000	100000	1	pp	bootstrap	700
2.1557304999999998	10	0.5156614655917441	0.04824735724055674	1000000	100000	1	pp	bootstrap	700
2.1557304999999998	8	0.39219206525665007	0.019593683135884433	1000000	100000	1	pp	bootstrap	700
2.1557304999999998	7	0.5106878857725916	0.014904699064760418	1000000	100000	1	pp	bootstrap	700
2.042271	10	0.43658181013111375	0.08257697608642947	1000000	100000	1	pp	bootstrap	700
2.042271	7	0.5315607956612916	0.021372575810201293	1000000	100000	1	pp	bootstrap	700
2.042271	10	0.33998946278008924	0.05907619579734601	1000000	100000	1	pp	bootstrap	700
2.042271	7	0.5528160034445166	0.021354317266707713	1000000	100000	1	pp	bootstrap	700
2.042271	5	0.6629360250986258	0.00909251916579266	1000000	100000	1	pp	bootstrap	700
2.042271	4	0.7132736171551031	0.006255902838473616	1000000	100000	1	pp	bootstrap	700
2.042271	3	0.7683125855937275	0.004173279645547814	1000000	100000	1	pp	bootstrap	700
2.2238062	50	0.21709652207291225	0.018192951283765545	1000000	100000	1	torus	bootstrap	700
2.2238062	33	0.2685589003143634	0.01374324750534893	1000000	100000	1	torus	bootstrap	700
2.2238062	25	0.14591145071140632	0.05547992622355241	1000000	100000	1	torus	bootstrap	700
2.2238062	20	0.23947911524486556	0.018315622336768075	1000000	100000	1	torus	bootstrap	700
2.2238062	17	0.23948795703137726	0.026227399581892005	1000000	100000	1	torus	bootstrap	700
2.1557304999999998	20	0.4082368727398439	0.01598850815141211	1000000	100000	1	torus	bootstrap	700
2.1557304999999998	13	0.4079138947710434	0.014524644564176273	1000000	100000	1	torus	bootstrap	700
2.1557304999999998	10	0.28363577319189026	0.02860293675833331	1000000	100000	1	torus	bootstrap	700
2.1557304999999998	8	0.3842406861293827	0.013071820147051789	1000000	100000	1	torus	bootstrap	700
2.1557304999999998	7	0.3977196550396743	0.009730038458775741	1000000	100000	1	torus	bootstrap	700
2.042271	10	0.3416480412061163	0.05215898511631155	1000000	100000	1	torus	bootstrap	700
2.042271	7	0.5653062645334452	0.015196651263739648	1000000	100000	1	torus	bootstrap	700
2.042271	5	0.6455739122432853	0.007092839933511197	1000000	100000	1	torus	bootstrap	700
2.042271	4	0.7180534099383662	0.00520733541503294	1000000	100000	1	torus	bootstrap	700
2.042271	3	0.854675092321307	0.004208503819392493	1000000	100000	1	torus	bootstrap	700
